StartDate,EndValue,LongValue,N_Buys,N_Sells,N,Threshold
2021-10-31 05:00:00+00:00,953364.0999999997,38818.00000000001,39,38,5,1
2020-04-05 05:00:00+00:00,5423525.970000001,1468448.0499999998,26,26,5,2
2020-05-25 05:00:00+00:00,4983651.32,1212571.63,27,27,5,2
2020-05-30 05:00:00+00:00,4865847.66,1195418.08,27,26,5,2
2020-06-04 05:00:00+00:00,4722219.06,1025526.0999999999,27,27,5,2
2020-06-09 05:00:00+00:00,4722219.06,968629.96,27,27,5,2
2020-06-14 05:00:00+00:00,4599802.06,1005305.25,28,28,5,2
2020-06-19 05:00:00+00:00,4655029.65,873201.5800000001,27,27,5,2
2020-06-24 05:00:00+00:00,4877082.65,795787.5599999999,28,27,5,2
2020-06-29 05:00:00+00:00,5215538.509999998,951899.0999999999,28,27,5,2
2020-07-04 05:00:00+00:00,5106419.99,989633.71,28,27,5,2
2020-07-09 05:00:00+00:00,5212480.459999999,825134.32,28,28,5,2
2020-07-14 05:00:00+00:00,5480352.26,829997.8,29,28,5,2
2020-07-19 05:00:00+00:00,5116770.139999999,885722.92,30,29,5,2
2020-07-24 05:00:00+00:00,4753292.89,846937.5,30,29,5,2
2020-07-29 05:00:00+00:00,4321065.8999999985,795416.8,30,29,5,2
2020-08-03 05:00:00+00:00,4991749.639999999,754865.5,31,30,5,2
2020-08-09 05:00:00+00:00,4959535.919999998,803661.3099999999,31,30,5,2
2020-08-14 05:00:00+00:00,4991219.29,756212.1599999999,30,29,5,2
2020-08-19 05:00:00+00:00,5026919.989999999,789320.53,31,30,5,2
2020-08-27 05:00:00+00:00,4489415.339999999,784190.43,31,31,5,2
2020-09-01 05:00:00+00:00,4994409.969999999,760961.4,31,30,5,2
2020-09-06 05:00:00+00:00,5302992.9399999995,1228361.8699999999,31,30,5,2
2020-09-11 05:00:00+00:00,5081152.199999999,906839.4,30,30,5,2
2020-09-16 05:00:00+00:00,5750378.300000001,1004420.0,30,29,5,2
2020-09-21 05:00:00+00:00,5308909.129999999,792856.99,31,30,5,2
2020-09-26 05:00:00+00:00,5143596.12,806897.2100000001,30,30,5,2
2020-10-01 05:00:00+00:00,5248797.72,845196.2800000001,31,31,5,2
2020-10-06 05:00:00+00:00,5618409.389999998,990995.5,32,31,5,2
2020-10-11 05:00:00+00:00,5889355.06,932720.1,32,31,5,2
2020-10-16 05:00:00+00:00,6365684.47,1036376.2,32,31,5,2
2020-10-21 05:00:00+00:00,6508965.58,1092723.2400000002,32,31,5,2
2020-10-26 05:00:00+00:00,6522521.179999998,1044083.92,33,32,5,2
2020-10-31 05:00:00+00:00,6979453.579999997,1115193.25,34,33,5,2
2020-11-05 06:00:00+00:00,6337665.429999997,1121097.9999999998,35,34,5,2
2020-11-10 06:00:00+00:00,6373758.779999996,1048735.66,35,34,5,2
2020-11-15 06:00:00+00:00,6168243.549999999,1024176.12,36,35,5,2
2020-11-20 06:00:00+00:00,5089320.889999997,872800.96,34,34,5,2
2020-11-25 06:00:00+00:00,4655440.279999998,719157.28,35,35,5,2
2020-11-30 06:00:00+00:00,4394163.239999997,750865.33,37,35,5,2
2020-12-05 06:00:00+00:00,4581763.239999997,707177.2000000001,37,36,5,2
2020-12-10 06:00:00+00:00,4407522.959999999,733580.3200000001,37,37,5,2
2020-12-15 06:00:00+00:00,3918558.2699999996,662563.84,39,37,5,2
2020-12-20 06:00:00+00:00,4001815.059999999,588515.2300000001,37,37,5,2
2020-12-25 06:00:00+00:00,3522937.299999999,660182.1,38,37,5,2
2020-12-30 06:00:00+00:00,2363632.74,499748.88,39,38,5,2
2021-01-04 06:00:00+00:00,2171260.38,340860.62,39,38,5,2
